File,Method,isFE,isLM
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.Main,build_flower_graph,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.Main,continuously_test_adding_elements,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.Main,get_random_vertex,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,incidentEdges,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,outboundEdges,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,insertEdge,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,insertVertex,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,removeEdge,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,replace,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,getInbound,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,checkEdge,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,incidentEdges,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,insertVertex,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,insertEdge,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,removeEdge,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,replace,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,checkEdge,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.Graph,replace,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartStyleProxy,setStyleClass,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartStyleProxy,addStyleClass,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartRandomPlacementStrategy,place,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphVertexNode,moveFromForces,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphVertexNode,attachLabel,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,update,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,createEdge,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,addEdge,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,removeNodes,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,removeVertex,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,updateLabels,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,generateVertexLabel,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,generateEdgeLabel,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,removedVertices,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,removedEdges,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,setVertexPosition,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,getStylableLabel,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,enableDoubleClickListener,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphEdgeCurve,enableListeners,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.containers.ContentZoomPane,boundValue,1,0
